Trials,Min Card Count,Average Rounds Played, Probability of Termination
4110,11.432,1918.778,0.695
4120,11.144,1853.869,0.712
4130,11.466,1844.749,0.712
4140,10.861,1917.292,0.706
4150,11.244,1899.111,0.698
4160,11.033,1875.598,0.711
4170,11.032,1868.691,0.716
4180,11.079,1935.979,0.716
4190,10.951,1841.325,0.724
4200,11.351,1950.605,0.701
4210,11.032,1881.759,0.719
4220,10.612,1895.081,0.729
4230,11.074,1931.65,0.7
4240,10.697,1833.024,0.735
4250,10.969,1884.357,0.718
4260,11.05,1907.431,0.714
4270,11.045,1870.06,0.728
4280,11.013,1946.795,0.71
4290,11.154,1809.735,0.741
4300,11.074,1938.628,0.708
4310,11.082,1930.429,0.723
4320,11.02,1987.235,0.692
4330,11,1950.597,0.713
4340,11.076,1878.988,0.721
4350,10.948,1879.29,0.73
4360,10.857,2024.304,0.703
4370,10.801,1954.789,0.708
4380,10.664,1923.079,0.725
4390,11.036,1927.251,0.722
4400,11.455,1940.447,0.713
4410,10.909,1911.632,0.728
4420,10.875,1975.959,0.721
4430,11.309,1910.761,0.731
4440,10.613,1959.917,0.717
4450,11.129,1852.545,0.74
4460,10.675,1865.525,0.741
4470,10.775,2022.638,0.698
4480,10.837,1951.573,0.721
4490,11.021,2002.091,0.708
4500,10.553,1894.539,0.736
4510,10.972,1891.703,0.74
4520,10.847,2001.859,0.715
4530,10.923,1965.288,0.719
4540,10.499,1949.763,0.723
4550,10.6,1927.492,0.737
4560,11.051,1880.824,0.749
4570,11.385,2028.046,0.71
4580,11.246,2024.766,0.708
4590,11.312,1984.476,0.724
4600,11.052,1957.549,0.737
4610,10.876,1935.934,0.735
4620,10.762,1948.814,0.721
4630,11.307,2041.658,0.719
4640,11.275,1998.403,0.718
4650,10.936,2005.945,0.725
4660,11.275,2096.324,0.698
4670,10.882,2016.611,0.731
4680,11.077,1934.143,0.735
4690,11.1,2060.541,0.704
4700,11.078,2001.506,0.718
4710,11.023,2126.626,0.714
4720,10.951,2028.859,0.722
4730,11.374,2126.259,0.697
4740,10.672,2023.664,0.732
4750,11.266,2116.657,0.697
4760,10.975,2036.559,0.721
4770,10.872,2075.486,0.713
4780,10.898,2030.633,0.728
4790,11.116,2056.081,0.712
4800,11.251,2026.527,0.727
4810,11.149,1971.079,0.736
4820,10.77,2024.663,0.73
4830,11.006,2090.078,0.706
4840,10.397,1989.664,0.745
4850,11.174,2077.892,0.718
4860,11.334,2164.556,0.706
4870,11.133,2041.583,0.729
4880,11.149,2068.884,0.718
4890,11.149,2168.836,0.703
4900,10.988,2120.709,0.714
4910,10.82,2044.941,0.732
4920,11.221,1980.149,0.745
4930,10.959,2151.613,0.719
4940,11.07,1953.954,0.749
4950,10.932,2239.851,0.687
4960,10.627,2034.998,0.736
4970,10.639,2119.649,0.722
4980,11.103,2169.364,0.7
4990,10.944,2154.611,0.724
5000,11.268,2085.138,0.719
